Variable,theme,OR,2.5 %,97.5 %,p,id,inv_OR,inv_2.5 %,inv_97.5 %,is_OR_>1,max_OR-inv_OR
15+_men_VocationalGraduate_amg_mWF,Formation,0.046493713608437584,0.030348505479640558,0.06903687410960514,2.2077050875097248e-94,17,21.508284075172735,14.485012725407701,32.950551738729104,FALSE,21.508284075172735
Overcrowding_rate,Logement,21.429389234949923,14.432174153310585,32.82938986823648,5.672711849498226e-94,41,0.0466648857340771,0.030460511267909156,0.0692896295026076,TRUE,21.429389234949923
Interdecile_91_Ratio,Revenus,17.794267138920667,11.151180369814918,29.932511702504083,7.181254770881433e-65,4,0.0561978749781013,0.03340848940238925,0.08967660524144114,TRUE,17.794267138920667
15+_VocationalGraduate_amg_WF,Formation,0.06408736619000852,0.043861784328809494,0.09148347173978386,4.579598921507861e-83,10,15.60369944109053,10.93093627714967,22.798890088545157,FALSE,15.60369944109053
1564_Retired_amg_NW,Emploi,0.07035186197059651,0.04875070249949594,0.09943164221137483,1.49086232701908e-79,36,14.2142648679,10.057160655902367,20.512524922288854,FALSE,14.2142648679
French_nlty,Immigration,0.07183066036709151,0.04580827946040633,0.10907782209474001,8.470053352067538e-56,1,13.9216317222964,9.16776646980947,21.830114812854614,FALSE,13.9216317222964
French_nlty_amg_Women,Immigration,0.07183066036709151,0.04580827946040633,0.10907782209474001,8.470053352067538e-56,7,13.9216317222964,9.16776646980947,21.830114812854614,FALSE,13.9216317222964
Stranger,Immigration,13.860987369667178,9.127986427564071,21.735752386075333,1.965975711157577e-55,2,0.07214493263217016,0.04600714906195905,0.10955318655823898,TRUE,13.860987369667178
Stranger_amg_Women,Immigration,13.860987369667178,9.127986427564071,21.735752386075333,1.965975711157577e-55,8,0.07214493263217016,0.04600714906195905,0.10955318655823898,TRUE,13.860987369667178
French_nlty_amg_Men,Immigration,0.07832132815271327,0.050558532755994735,0.11757888884960568,1.4858504992382842e-53,4,12.767914227018343,8.504928136198776,19.779054998019692,FALSE,12.767914227018343
Stranger_amg_Men,Immigration,12.712433854134623,8.468081210780198,19.69236887065124,3.402845179610041e-53,5,0.07866314283120203,0.05078109223773287,0.1180905065868949,TRUE,12.712433854134623
1564_Retired_amg_WF,Emploi,0.0858894106301873,0.060931960979467896,0.11906335409619073,8.393042713076794e-72,31,11.64287882129829,8.398889881702011,16.411748184782166,FALSE,11.64287882129829
HH_Moving_Time_gt30y,Logement,0.10025683635762796,0.07221146312825975,0.13714932137916672,1.2942526058623614e-65,20,9.974382160163943,7.291322989746139,13.848216843686314,FALSE,9.974382160163943
Nb_Rooms_1ry_res,Logement,0.1027505016825968,0.07420191103686705,0.14025963370103767,1.2741899102515648e-64,6,9.732312578765475,7.129635046185079,13.476741852418765,FALSE,9.732312578765475
Family_w_Children_amg_HH,Famille,9.241124983911105,6.794829158695185,12.737452302056727,2.556779348209269e-62,48,0.10821193325931751,0.07850863550150677,0.14717073478151002,TRUE,9.241124983911105
NoChildFamily_HH,Famille,0.11040720630020043,0.08027761232663361,0.14990409322011478,1.052724762328851e-61,6,9.057379798932423,6.670931917326829,12.45677307804322,FALSE,9.057379798932423
Family_wo_Children_amg_HH,Famille,0.11040720630020043,0.08027761232663361,0.14990409322011478,1.052724762328851e-61,50,9.057379798932423,6.670931917326829,12.45677307804322,FALSE,9.057379798932423
Pop_Farmer_HH,Famille,0.1110809806559831,0.08016731588798819,0.15183458827689872,5.804797039280835e-59,25,9.0024412288634,6.586114608986941,12.473911455352022,FALSE,9.0024412288634
House_1ry_res,Logement,0.11301909089741388,0.0823418008979447,0.15317552284625702,9.42417430481451e-61,7,8.848062677372697,6.528458211980152,12.144499987793692,FALSE,8.848062677372697
2529_School,Formation,8.816506820009108,6.505335742465902,12.101168175872122,2.075796951880615e-60,6,0.11342360647081844,0.08263665007101108,0.15371996766779353,TRUE,8.816506820009108
30+_School,Formation,8.816506820009108,6.505335742465902,12.101168175872122,2.075796951880615e-60,7,0.11342360647081844,0.08263665007101108,0.15371996766779353,TRUE,8.816506820009108
15+_women_VocationalGraduate_amg_wWF,Formation,0.11566135093937398,0.08439235828831898,0.15645913105442677,8.244354347036455e-60,21,8.645930484800997,6.391445441762899,11.84941409722891,FALSE,8.645930484800997
Flat_1ry_res,Logement,8.615120752904604,6.367465676327455,11.80637140981877,1.8065347041955119e-59,8,0.11607498358776319,0.08470002893254315,0.15704835343168544,TRUE,8.615120752904604
Farmer_HH,Famille,0.11659868981203587,0.08447845896513993,0.158723554579214,4.4533470894353754e-57,9,8.57642570094107,6.300262129657202,11.837337141917448,FALSE,8.57642570094107
15+_men_Farmers_amg_mPOP,Population,0.12377377350783829,0.09083299604161932,0.1666509342269499,4.818714617011861e-57,30,8.079255981774462,6.000566421296937,11.009215192481419,FALSE,8.079255981774462
longitude,Geographie,8.032100072800045,4.306600917878796,16.341534339117,1.0198162716971168e-15,2,0.12450044084814212,0.061193764260329186,0.2322016873791378,TRUE,8.032100072800045
Houses,Logement,0.12654094727635934,0.09302682050517316,0.17013323643564196,3.853818205925788e-56,4,7.902580323000492,5.877746294318454,10.749588071156216,FALSE,7.902580323000492
1ry_res_bf_1919,Logement,0.12654094727635934,0.09302682050517316,0.17013323643564196,3.853818205925788e-56,9,7.902580323000492,5.877746294318454,10.749588071156216,FALSE,7.902580323000492
